Tabla Variable u
  Vivienda    Material    Variante    Trabajador    Maquina       Días
         1           1           6             2          3   0
         1           1           6             3          1   0
         1           1           6             3          2   0
         1           1           6             3          3   0
         1           1           6             4          1   0
         1           1           6             4          2   0
         1           1           6             4          3   0
         1           1           6             5          1   0
         1           1           6             5          2   0
         1           1           6             5          3   0
         1           1           6             6          1   0
         1           1           6             6          2   0
         1           1           6             6          3   0
         1           1           6             7          1   0
         1           1           6             7          2   0
         1           1           6             7          3   0
         1           1           6             8          1   0
         1           1           6             8          2   0
         1           1           6             8          3   0
         1           1           6             9          1   0
         1           1           6             9          2   0
         1           1           6             9          3   0
         1           1           6            10          1   0
         1           1           6            10          2   0
         1           1           6            10          3   0
         1           1           6            11          1   0
         1           1           6            11          2   0
         1           1           6            11          3   0
         1           1           6            12          1   0
         1           1           6            12          2   0
         1           1           6            12          3   0
         1           1           6            13          1   0
         1           1           6            13          2   0
         1           1           6            13          3   0
         1           1           6            14          1   0
         1           1           6            14          2   0
         1           1           6            14          3   0
         1           1           6            15          1   0
         1           1           6            15          2   0
         1           1           6            15          3   0
         1           1           6            16          1   0
         1           1           6            16          2   0
         1           1           6            16          3   0
         1           1           6            17          1   0
         1           1           6            17          2   0
         1           1           6            17          3   0
         1           1           6            18          1   0
         1           1           6            18          2   0
         1           1           6            18          3   0
         1           1           6            19          1   0
         1           1           6            19          2   0
         1           1           6            19          3   0
         1           1           6            20          1   0
         1           1           6            20          2   0
         1           1           6            20          3   0
         1           1           6            21          1   0
         1           1           6            21          2   0
         1           1           6            21          3   0
         1           1           6            22          1   0
         1           1           6            22          2   0
         1           1           6            22          3   0
         1           1           6            23          1   0
         1           1           6            23          2   0
         1           1           6            23          3   0
         1           1           6            24          1   0
         1           1           6            24          2   0
         1           1           6            24          3   0
         1           1           6            25          1   0
         1           1           6            25          2   0
         1           1           6            25          3   0
         1           1           6            26          1   0
         1           1           6            26          2   0
         1           1           6            26          3   0
         1           1           6            27          1   0
