El proyecto tiene un costo de 156018891.3719821 $CLP
Tabla R2
  Vivienda    Material-Variante    Cantidad Utilizada
----------  -------------------  --------------------
         4           3            23         0.044                  0.044
         4           3            24         0.044                  0.044
         4           3            25         0.058                  0.058
         4           3            26         0.062                  0.062
         4           3            27         0.066                  0.066
         4           3            28         0.048                  0.048
         4           3            29         0.052                  0.052
         4           3            30         0.05                   0.05
         4           4             1         0.051                  0.051
         4           4             2         0.056                  0.056
         4           4             3         0.057                  0.057
         4           4             4         0.061                  0.061
         4           4             5         0.061                  0.061
         4           4             6         0.066                  0.066
         4           4            21         0.043                  0.043
         4           4            22         0.04                   0.04
         4           4            23         0.038                  0.038
         4           4            24         0.042                  0.042
         4           4            25         0.077                  0.077
         4           4            26         0.078                  0.078
         4           4            27         0.083                  0.083
         4           4            28         0.044                  0.044
         4           4            29         0.042                  0.042
         4           4            30         0.038                  0.038
         4           5             1         0.052                  0.052
         4           5             2         0.054                  0.054
         4           5             3         0.059                  0.059
         4           5             4         0.063                  0.063
         4           5             5         0.062                  0.062
         4           5             6         0.057                  0.057
         4           5            21         0.042                  0.042
         4           5            22         0.047                  0.047
         4           5            23         0.044                  0.044
         4           5            24         0.043                  0.043
         4           5            25         0.084                  0.084
         4           5            26         0.088                  0.088
         4           5            27         0.089                  0.089
         4           5            28         0.039                  0.039
         4           5            29         0.038                  0.038
         4           5            30         0.038                  0.038
         4           6             1         0.06                   0.06
         4           6             2         0.059                  0.059
         4           6             3         0.06                   0.06
         4           6             4         0.057                  0.057
         4           6             5         0.056                  0.056
         4           6             6         0.058                  0.058
         4           6            21         0.045                  0.045
         4           6            22         0.046                  0.046
         4           6            23         0.049                  0.049
         4           6            24         0.053                  0.053
         4           6            25         0.098                  0.098
         4           6            26         0.101                  0.101
         4           6            27         0.099                  0.099
         4           6            28         0.058                  0.058
         4           6            29         0.06                   0.06
         4           6            30         0.064                  0.064
         4           7             1         0.062                  0.062
         4           7             2         0.061                  0.061
         4           7             3         0.064                  0.064
         4           7             4         0.069                  0.069
         4           7             5         0.064                  0.064
         4           7             6         0.066                  0.066
         4           7            21         0.057                  0.057
         4           7            22         0.056                  0.056
         4           7            23         0.053                  0.053
         4           7            24         0.048                  0.048
         4           7            25         0.119                  0.119
         4           7            26         0.114                  0.114
         4           7            27         0.111                  0.111
         4           7            28         0.05                   0.05
         4           7            29         0.049                  0.049
         4           7            30         0.048                  0.048
         5           1             1         0.022                  0.022
         5           1             2         0.019                  0.019
         5           1             3         0.014                  0.014
         5           1             4         0.014                  0.014
         5           1             5         0.014                  0.014
         5           1             6         0.018                  0.018
         5           1            21         0.018                  0.018
         5           1            22         0.023                  0.023
         5           1            23         0.026                  0.026
         5           1            24         0.027                  0.027
         5           1            25         0.032                  0.032
         5           1            26         0.027                  0.027
         5           1            27         0.029                  0.029
         5           1            28         0.038                  0.038
         5           1            29         0.035                  0.035
         5           1            30         0.035                  0.035
         5           2             1         0.027                  0.027
         5           2             2         0.026                  0.026
         5           2             3         0.026                  0.026
         5           2             4         0.027                  0.027
         5           2             5         0.03                   0.03
         5           2             6         0.033                  0.033
         5           2            21         0.025                  0.025
         5           2            22         0.029                  0.029
         5           2            23         0.03                   0.03
         5           2            24         0.031                  0.031
         5           2            25         0.03                   0.03
         5           2            26         0.031                  0.031
         5           2            27         0.028                  0.028
         5           2            28         0.038                  0.038
         5           2            29         0.043                  0.043
         5           2            30         0.048                  0.048
         5           3             1         0.035                  0.035
         5           3             2         0.034                  0.034
         5           3             3         0.029                  0.029
         5           3             4         0.026                  0.026
         5           3             5         0.024                  0.024
         5           3             6         0.022                  0.022
         5           3            21         0.022                  0.022
         5           3            22         0.023                  0.023
         5           3            23         0.021                  0.021
         5           3            24         0.024                  0.024
         5           3            25         0.026                  0.026
         5           3            26         0.021                  0.021
         5           3            27         0.025                  0.025
         5           3            28         0.046                  0.046
         5           3            29         0.042                  0.042
         5           3            30         0.045                  0.045
         5           4             1         0.043                  0.043
         5           4             2         0.048                  0.048
         5           4             3         0.048                  0.048
         5           4             4         0.047                  0.047
         5           4             5         0.042                  0.042
         5           4             6         0.037                  0.037
         5           4            21         0.035                  0.035
         5           4            22         0.039                  0.039
         5           4            23         0.034                  0.034
         5           4            24         0.034                  0.034
         5           4            25         0.036                  0.036
         5           4            26         0.041                  0.041
         5           4            27         0.043                  0.043
         5           4            28         0.068                  0.068
         5           4            29         0.071                  0.071
         5           4            30         0.069                  0.069
         6           1             1         0.079                  0.079
         6           1             2         0.084                  0.084
         6           1             3         0.085                  0.085
         6           1             4         0.085                  0.085
         6           1             5         0.084                  0.084
         6           1             6         0.086                  0.086
         6           1            21         0                      0.027
         6           1            22         0                      0.03
         6           1            23         0                      0.033
         6           1            24         0                      0.03
         6           1            25         0                      0.027
         6           1            26         0                      0.032
         6           1            27         0                      0.036
         6           1            28         0                      0.032
         6           1            29         0                      0.03
         6           1            30         0                      0.033
         6           2             1         0.096                  0.096
         6           2             2         0.092                  0.092
         6           2             3         0.093                  0.093
         6           2             4         0.088                  0.088
         6           2             5         0.084                  0.084
         6           2             6         0.081                  0.081
         6           2            21         0.058                  0.058
         6           2            22         0.058                  0.058
         6           2            23         0.056                  0.056
         6           2            24         0.057                  0.057
         6           2            25         0.052                  0.052
         6           2            26         0.057                  0.057
         6           2            27         0.06                   0.06
         6           2            28         0.056                  0.056
         6           2            29         0.051                  0.051
         6           2            30         0.049                  0.049
         6           3             1         0.144                  0.144
         6           3             2         0.14                   0.14
         6           3             3         0.14                   0.14
         6           3             4         0.135                  0.135
         6           3             5         0.139                  0.139
         6           3             6         0.137                  0.137
         6           3            21         0.079                  0.079
         6           3            22         0.084                  0.084
         6           3            23         0.089                  0.089
         6           3            24         0.09                   0.09
         6           3            25         0.086                  0.086
         6           3            26         0.084                  0.084
         6           3            27         0.088                  0.088
         6           3            28         0.089                  0.089
         6           3            29         0.085                  0.085
         6           3            30         0.084                  0.084
         6           4             1         0.186                  0.186
         6           4             2         0.19                   0.19
         6           4             3         0.192                  0.192
         6           4             4         0.187                  0.187
         6           4             5         0.187                  0.187
         6           4             6         0.184                  0.184
         6           4            21         0.105                  0.105
         6           4            22         0.101                  0.101
         6           4            23         0.1                    0.1
         6           4            24         0.098                  0.098
         6           4            25         0.103                  0.103
         6           4            26         0.1                    0.1
         6           4            27         0.102                  0.102
         6           4            28         0.103                  0.103
         6           4            29         0.098                  0.098
         6           4            30         0.096                  0.096
         7           3             1         0.73                   0.73
         7           3             2         0.68                   0.68
         7           3             3         0.67                   0.67
         7           3             4         0.72                   0.72
         7           3             5         0.74                   0.74
         7           3             6         0.76                   0.76
         7           3            21         0.65                   0.65
         7           3            22         0.66                   0.66
         7           3            23         0.67                   0.67
         7           3            24         0.72                   0.72
         7           3            25         0.73                   0.73
         7           3            26         0.77                   0.77
         7           3            27         0.73                   0.73
         7           3            28         0.75                   0.75
         7           3            29         0.79                   0.79
         7           3            30         0.82                   0.82
         7           4             1         0.82                   0.82
         7           4             2         0.77                   0.77
         7           4             3         0.82                   0.82
         7           4             4         0.82                   0.82
         7           4             5         0.81                   0.81
         7           4             6         0.79                   0.79
         7           4            21         0.62                   0.62
         7           4            22         0.58                   0.58
         7           4            23         0.63                   0.63
         7           4            24         0.63                   0.63
         7           4            25         0.66                   0.66
         7           4            26         0.7                    0.7
         7           4            27         0.65                   0.65
         7           4            28         0.7                    0.7
         7           4            29         0.71                   0.71
         7           4            30         0.74                   0.74
         7           5             1         0.83                   0.83
         7           5             2         0.88                   0.88
         7           5             3         0.83                   0.83
         7           5             4         0.8                    0.8
         7           5             5         0.85                   0.85
         7           5             6         0.85                   0.85
         7           5            21         0.75                   0.75
         7           5            22         0.78                   0.78
         7           5            23         0.8                    0.8
         7           5            24         0.85                   0.85
         7           5            25         0.82                   0.82
         7           5            26         0.87                   0.87
         7           5            27         0.86                   0.86
         7           5            28         0.84                   0.84
         7           5            29         0.89                   0.89
         7           5            30         0.88                   0.88

Tabla R8
  Vivienda    Total Trabajadores
----------  --------------------
         1                     8
         2                     8
         3                     8
         4                    12
         5                    12
         6                    12
         7                    16
         8                    16
         9                    16

Tabla R9
  Vivienda    Material    Variante        Total    Utilizada
----------  ----------  ----------  -----------  -----------
         1           1           4  162.877       79.4521
         1           1           5  131.246       64.0222
         1           2           7  221.4        108
         1           3           7  174.25        85
         1           4           6    7.55263      3.68421
         1           5           3    5.25641      2.5641
         1           6           3   21.4535      10.4651
         1           7           4  125.278       61.1111
         2           1           5  292.857      142.857
         2           2           7  225.5        110
         2           3           7  184.5         90
         2           4           6    9.81842      4.78947
         2           5           3    6.83333      3.33333
         2           6           3   22.2242      10.8411
         2           6           4    1.55864      0.760315
         2           7           4  162.861       79.4444
         3           1           5  303.433      148.016
         3           1           6   31.3757      15.3052
         3           2           7  250.1        122
         3           3           7  215.25       105
         3           4           6   14.6737       7.15789
         3           5           3    7.65896      3.73608
         3           5           4    0.586013     0.28586
         3           6           4   23.0337      11.236
         3           7           4  200.444       97.7778
         4           1           5  311.868      145.055
         4           2           6  240.8        112
         4           3           6  152.504       29.9028
         4           3           7  291.196       57.0972
         4           4           5    9.34783      4.34783
         4           5           3    6.57051      3.20513
         4           6           3   23.8372      11.6279
         4           7           4  134.972       62.7778
         5           1           5  323.681      150.549
         5           2           6  255.85       119
         5           3           6  474.3         93
         5           4           5    7.06025      3.28384
         5           4           6   11.4677       2.29355
         5           5           2   20.3202       4.06404
         5           5           3    1.17169      0.571558
         5           6           4   25.3371      12.3596
         5           7           4   37.2132      17.3084
         5           7           5  289.362       57.8724
         6           1           6  333.25       155
