Variable,Valor
"z_fikp[1,1,5,28]",0.0
"z_fikp[1,1,5,29]",0.0
"z_fikp[1,1,5,30]",0.0
"z_fikp[1,1,6,1]",0.0
"z_fikp[1,1,6,2]",0.0
"z_fikp[1,1,6,3]",0.0
"z_fikp[1,1,6,4]",0.0
"z_fikp[1,1,6,5]",0.0
"z_fikp[1,1,6,6]",0.0
"z_fikp[1,1,6,7]",0.0
"z_fikp[1,1,6,8]",0.0
"z_fikp[1,1,6,9]",0.0
"z_fikp[1,1,6,10]",0.0
"z_fikp[1,1,6,11]",0.0
"z_fikp[1,1,6,12]",0.0
"z_fikp[1,1,6,13]",0.0
"z_fikp[1,1,6,14]",0.0
"z_fikp[1,1,6,15]",0.0
"z_fikp[1,1,6,16]",0.0
"z_fikp[1,1,6,17]",0.0
"z_fikp[1,1,6,18]",0.0
"z_fikp[1,1,6,19]",0.0
"z_fikp[1,1,6,20]",0.0
"z_fikp[1,1,6,21]",0.0
"z_fikp[1,1,6,22]",0.0
"z_fikp[1,1,6,23]",0.0
"z_fikp[1,1,6,24]",0.0
"z_fikp[1,1,6,25]",0.0
"z_fikp[1,1,6,26]",0.0
"z_fikp[1,1,6,27]",0.0
"z_fikp[1,1,6,28]",0.0
"z_fikp[1,1,6,29]",0.0
"z_fikp[1,1,6,30]",0.0
"z_fikp[1,1,7,1]",0.0
"z_fikp[1,1,7,2]",0.0
"z_fikp[1,1,7,3]",0.0
"z_fikp[1,1,7,4]",0.0
"z_fikp[1,1,7,5]",0.0
"z_fikp[1,1,7,6]",0.0
"z_fikp[1,1,7,7]",0.0
"z_fikp[1,1,7,8]",0.0
"z_fikp[1,1,7,9]",0.0
"z_fikp[1,1,7,10]",0.0
"z_fikp[1,1,7,11]",0.0
"z_fikp[1,1,7,12]",0.0
"z_fikp[1,1,7,13]",0.0
"z_fikp[1,1,7,14]",0.0
"z_fikp[1,1,7,15]",0.0
"z_fikp[1,1,7,16]",0.0
"z_fikp[1,1,7,17]",0.0
"z_fikp[1,1,7,18]",0.0
"z_fikp[1,1,7,19]",0.0
"z_fikp[1,1,7,20]",0.0
"z_fikp[1,1,7,21]",0.0
"z_fikp[1,1,7,22]",0.0
"z_fikp[1,1,7,23]",0.0
"z_fikp[1,1,7,24]",0.0
"z_fikp[1,1,7,25]",0.0
"z_fikp[1,1,7,26]",0.0
"z_fikp[1,1,7,27]",0.0
"z_fikp[1,1,7,28]",0.0
"z_fikp[1,1,7,29]",0.0
"z_fikp[1,1,7,30]",0.0
"z_fikp[1,2,1,1]",0.0
"z_fikp[1,2,1,2]",0.0
"z_fikp[1,2,1,3]",0.0
"z_fikp[1,2,1,4]",0.0
"z_fikp[1,2,1,5]",0.0
"z_fikp[1,2,1,6]",0.0
"z_fikp[1,2,1,7]",0.0
"z_fikp[1,2,1,8]",0.0
"z_fikp[1,2,1,9]",0.0
"z_fikp[1,2,1,10]",0.0
"z_fikp[1,2,1,11]",0.0
"z_fikp[1,2,1,12]",0.0
"z_fikp[1,2,1,13]",0.0
"z_fikp[1,2,1,14]",0.0
"z_fikp[1,2,1,15]",0.0
"z_fikp[1,2,1,16]",0.0
"z_fikp[1,2,1,17]",0.0
"z_fikp[1,2,1,18]",0.0
"z_fikp[1,2,1,19]",0.0
"z_fikp[1,2,1,20]",0.0
"z_fikp[1,2,1,21]",0.0
"z_fikp[1,2,1,22]",0.0
"z_fikp[1,2,1,23]",0.0
"z_fikp[1,2,1,24]",0.0
"z_fikp[1,2,1,25]",0.0
"z_fikp[1,2,1,26]",0.0
"z_fikp[1,2,1,27]",0.0
"z_fikp[1,2,1,28]",0.0
"z_fikp[1,2,1,29]",0.0
"z_fikp[1,2,1,30]",0.0
"z_fikp[1,2,2,1]",2.5
"z_fikp[1,2,2,2]",0.0
"z_fikp[1,2,2,3]",0.0
"z_fikp[1,2,2,4]",0.0
"z_fikp[1,2,2,5]",0.0
"z_fikp[1,2,2,6]",0.0
"z_fikp[1,2,2,7]",0.0
"z_fikp[1,2,2,8]",0.0
"z_fikp[1,2,2,9]",0.0
"z_fikp[1,2,2,10]",0.0
"z_fikp[1,2,2,11]",0.0
"z_fikp[1,2,2,12]",0.0
"z_fikp[1,2,2,13]",0.0
"z_fikp[1,2,2,14]",0.0
"z_fikp[1,2,2,15]",0.0
"z_fikp[1,2,2,16]",0.0
"z_fikp[1,2,2,17]",0.0
"z_fikp[1,2,2,18]",0.0
"z_fikp[1,2,2,19]",0.0
"z_fikp[1,2,2,20]",0.0
"z_fikp[1,2,2,21]",0.0
"z_fikp[1,2,2,22]",0.0
"z_fikp[1,2,2,23]",0.0
"z_fikp[1,2,2,24]",0.0
"z_fikp[1,2,2,25]",0.0
"z_fikp[1,2,2,26]",0.0
"z_fikp[1,2,2,27]",0.0
"z_fikp[1,2,2,28]",0.0
"z_fikp[1,2,2,29]",0.0
"z_fikp[1,2,2,30]",0.0
"z_fikp[1,2,3,1]",2.499999999999998
"z_fikp[1,2,3,2]",0.0
"z_fikp[1,2,3,3]",0.0
"z_fikp[1,2,3,4]",0.0
"z_fikp[1,2,3,5]",0.0
"z_fikp[1,2,3,6]",0.0
"z_fikp[1,2,3,7]",0.0
"z_fikp[1,2,3,8]",0.0
"z_fikp[1,2,3,9]",0.0
"z_fikp[1,2,3,10]",0.0
"z_fikp[1,2,3,11]",0.0
"z_fikp[1,2,3,12]",0.0
"z_fikp[1,2,3,13]",0.0
"z_fikp[1,2,3,14]",0.0
"z_fikp[1,2,3,15]",0.0
"z_fikp[1,2,3,16]",0.0
"z_fikp[1,2,3,17]",0.0
"z_fikp[1,2,3,18]",0.0
"z_fikp[1,2,3,19]",0.0
"z_fikp[1,2,3,20]",0.0
"z_fikp[1,2,3,21]",0.0
"z_fikp[1,2,3,22]",0.0
"z_fikp[1,2,3,23]",0.0
"z_fikp[1,2,3,24]",0.0
"z_fikp[1,2,3,25]",2.5
"z_fikp[1,2,3,26]",2.5
"z_fikp[1,2,3,27]",2.5
"z_fikp[1,2,3,28]",2.5
"z_fikp[1,2,3,29]",2.5
"z_fikp[1,2,3,30]",2.5
"z_fikp[1,2,4,1]",2.4989390010870687
"z_fikp[1,2,4,2]",0.0
"z_fikp[1,2,4,3]",0.0
"z_fikp[1,2,4,4]",0.0
"z_fikp[1,2,4,5]",0.0
"z_fikp[1,2,4,6]",0.0
"z_fikp[1,2,4,7]",0.0
"z_fikp[1,2,4,8]",0.0
"z_fikp[1,2,4,9]",0.0
"z_fikp[1,2,4,10]",0.0
"z_fikp[1,2,4,11]",0.0
"z_fikp[1,2,4,12]",0.0
"z_fikp[1,2,4,13]",0.0
"z_fikp[1,2,4,14]",0.0
"z_fikp[1,2,4,15]",0.0
"z_fikp[1,2,4,16]",0.0
"z_fikp[1,2,4,17]",0.0
"z_fikp[1,2,4,18]",0.0
"z_fikp[1,2,4,19]",0.0
"z_fikp[1,2,4,20]",0.0
"z_fikp[1,2,4,21]",0.0
"z_fikp[1,2,4,22]",0.0
"z_fikp[1,2,4,23]",0.0
"z_fikp[1,2,4,24]",0.0
"z_fikp[1,2,4,25]",2.5
"z_fikp[1,2,4,26]",2.3348048629234106
"z_fikp[1,2,4,27]",2.5
"z_fikp[1,2,4,28]",0.16234447519441242
"z_fikp[1,2,4,29]",1.962772718014736
"z_fikp[1,2,4,30]",1.8056014441303412
"z_fikp[1,2,5,1]",0.0
"z_fikp[1,2,5,2]",0.0
"z_fikp[1,2,5,3]",0.0
"z_fikp[1,2,5,4]",0.0
"z_fikp[1,2,5,5]",0.0
"z_fikp[1,2,5,6]",0.0
"z_fikp[1,2,5,7]",0.0
"z_fikp[1,2,5,8]",0.0
"z_fikp[1,2,5,9]",0.0
"z_fikp[1,2,5,10]",0.0
"z_fikp[1,2,5,11]",0.0
"z_fikp[1,2,5,12]",0.0
"z_fikp[1,2,5,13]",0.0
"z_fikp[1,2,5,14]",0.0
"z_fikp[1,2,5,15]",0.0
"z_fikp[1,2,5,16]",0.0
"z_fikp[1,2,5,17]",0.0
"z_fikp[1,2,5,18]",0.0
"z_fikp[1,2,5,19]",0.0
"z_fikp[1,2,5,20]",0.0
"z_fikp[1,2,5,21]",0.0
"z_fikp[1,2,5,22]",0.0
"z_fikp[1,2,5,23]",0.0
"z_fikp[1,2,5,24]",0.0
"z_fikp[1,2,5,25]",0.0
"z_fikp[1,2,5,26]",0.0
"z_fikp[1,2,5,27]",0.0
"z_fikp[1,2,5,28]",0.0
"z_fikp[1,2,5,29]",0.0
"z_fikp[1,2,5,30]",0.0
"z_fikp[1,2,6,1]",0.0
"z_fikp[1,2,6,2]",0.0
"z_fikp[1,2,6,3]",0.0
"z_fikp[1,2,6,4]",0.0
"z_fikp[1,2,6,5]",0.0
"z_fikp[1,2,6,6]",0.0
"z_fikp[1,2,6,7]",0.0
"z_fikp[1,2,6,8]",0.0
"z_fikp[1,2,6,9]",0.0
"z_fikp[1,2,6,10]",0.0
"z_fikp[1,2,6,11]",0.0
"z_fikp[1,2,6,12]",0.0
"z_fikp[1,2,6,13]",0.0
"z_fikp[1,2,6,14]",0.0
"z_fikp[1,2,6,15]",0.0
"z_fikp[1,2,6,16]",0.0
"z_fikp[1,2,6,17]",0.0
"z_fikp[1,2,6,18]",0.0
"z_fikp[1,2,6,19]",0.0
"z_fikp[1,2,6,20]",0.0
"z_fikp[1,2,6,21]",0.0
"z_fikp[1,2,6,22]",0.0
"z_fikp[1,2,6,23]",0.0
"z_fikp[1,2,6,24]",0.0
"z_fikp[1,2,6,25]",0.0
"z_fikp[1,2,6,26]",0.0
"z_fikp[1,2,6,27]",0.0
"z_fikp[1,2,6,28]",0.0
"z_fikp[1,2,6,29]",0.0
"z_fikp[1,2,6,30]",0.0
"z_fikp[1,2,7,1]",0.0
"z_fikp[1,2,7,2]",0.0
"z_fikp[1,2,7,3]",0.0
"z_fikp[1,2,7,4]",0.0
"z_fikp[1,2,7,5]",0.0
"z_fikp[1,2,7,6]",0.0
"z_fikp[1,2,7,7]",0.0
"z_fikp[1,2,7,8]",0.0
"z_fikp[1,2,7,9]",0.0
"z_fikp[1,2,7,10]",0.0
"z_fikp[1,2,7,11]",0.0
"z_fikp[1,2,7,12]",0.0
"z_fikp[1,2,7,13]",0.0
"z_fikp[1,2,7,14]",0.0
"z_fikp[1,2,7,15]",0.0
"z_fikp[1,2,7,16]",0.0
"z_fikp[1,2,7,17]",0.0
"z_fikp[1,2,7,18]",0.0
"z_fikp[1,2,7,19]",0.0
"z_fikp[1,2,7,20]",0.0
"z_fikp[1,2,7,21]",0.0
"z_fikp[1,2,7,22]",0.0
"z_fikp[1,2,7,23]",0.0
"z_fikp[1,2,7,24]",0.0
"z_fikp[1,2,7,25]",0.0
"z_fikp[1,2,7,26]",0.0
"z_fikp[1,2,7,27]",0.0
"z_fikp[1,2,7,28]",0.0
"z_fikp[1,2,7,29]",0.0
"z_fikp[1,2,7,30]",0.0
"z_fikp[1,3,1,1]",0.0
"z_fikp[1,3,1,2]",0.0
"z_fikp[1,3,1,3]",0.0
"z_fikp[1,3,1,4]",0.0
"z_fikp[1,3,1,5]",0.0
"z_fikp[1,3,1,6]",0.0
"z_fikp[1,3,1,7]",0.0
"z_fikp[1,3,1,8]",0.0
"z_fikp[1,3,1,9]",0.0
"z_fikp[1,3,1,10]",0.0
"z_fikp[1,3,1,11]",0.0
"z_fikp[1,3,1,12]",0.0
"z_fikp[1,3,1,13]",0.0
"z_fikp[1,3,1,14]",0.0
"z_fikp[1,3,1,15]",0.0
"z_fikp[1,3,1,16]",0.0
"z_fikp[1,3,1,17]",0.0
"z_fikp[1,3,1,18]",0.0
"z_fikp[1,3,1,19]",0.0
"z_fikp[1,3,1,20]",0.0
"z_fikp[1,3,1,21]",0.0
"z_fikp[1,3,1,22]",0.0
"z_fikp[1,3,1,23]",0.0
"z_fikp[1,3,1,24]",0.0
"z_fikp[1,3,1,25]",0.0
"z_fikp[1,3,1,26]",0.0
"z_fikp[1,3,1,27]",0.0
"z_fikp[1,3,1,28]",0.0
"z_fikp[1,3,1,29]",0.0
"z_fikp[1,3,1,30]",0.0
"z_fikp[1,3,2,1]",0.0
"z_fikp[1,3,2,2]",0.0
"z_fikp[1,3,2,3]",0.0
"z_fikp[1,3,2,4]",0.0
"z_fikp[1,3,2,5]",0.0
"z_fikp[1,3,2,6]",0.0
"z_fikp[1,3,2,7]",0.0
"z_fikp[1,3,2,8]",0.0
"z_fikp[1,3,2,9]",0.0
"z_fikp[1,3,2,10]",0.0
"z_fikp[1,3,2,11]",0.0
"z_fikp[1,3,2,12]",0.0
"z_fikp[1,3,2,13]",0.0
"z_fikp[1,3,2,14]",0.0
"z_fikp[1,3,2,15]",0.0
"z_fikp[1,3,2,16]",0.0
"z_fikp[1,3,2,17]",0.0
"z_fikp[1,3,2,18]",0.0
"z_fikp[1,3,2,19]",0.0
